UCI,UCI_version
0827524d-a65a-4018-ad53-85233e0e0c08,1
62fc700f-58e1-4310-be3d-b2f11db16d6c,1
34f1394e-1cbc-4035-bc97-f935c4414c59,1
c8fe2cf5-3c6c-4c70-a847-1ae38746f265,1
a09c5c28-0be4-4ef5-8b6f-d992afd8c860,6
72ff7dd8-0849-4b77-bad3-3f140c15732a,1
7a4c3ecb-995d-45fb-9875-caccd1b35423,1
0579d8f6-76c0-45e2-afea-4e9e0508f159,1
0ff07e39-8d44-4c57-b19d-97418a8f7ad7,4
a61a390d-6907-4dfd-b115-7f23663e4feb,1
da9fdb94-1e48-44d6-9d5a-db278280bae5,2
8fe341ac-ac04-4ac7-8f5d-1771e2297988,1
86ee4f81-ac78-447c-9970-5942016e8851,2
36896ea2-fd0a-4973-b0de-5b58862e9e3d,1
7d997ed8-480b-4fb3-a3cb-0225ebb8c068,2
cb5d442c-1f2a-454e-84c2-8f957f7fac68,5
e8ad5928-8697-47de-b595-580f6df58bee,3
b2cee215-6204-4f9c-930d-8eb639b29e1b,1
48619138-f0df-4064-a63f-28d018e56d03,2
